1, 645,-7.08929,7.37219,7.07491,6.8016,-0.000932619,-0.0285115,-11828,12300,11804,11348,7,214
2, 645,-7.2691,7.10368,6.63377,6.94305,-0.0214502,-0.0471639,-12128,11852,11068,11584,161,354
3, 644,-7.28349,7.28828,6.94305,6.91667,-0.0353063,-0.0638178,-12152,12160,11584,11540,265,479
4, 644,-7.12525,7.19718,6.88551,6.75604,-0.051827,-0.0820704,-11888,12008,11488,11272,389,616
5, 642,-7.12046,7.40576,6.9862,6.87832,-0.0623522,-0.0895314,-11880,12356,11656,11476,468,672
6, 641,-7.06052,7.25711,7.07011,6.69371,-0.0663492,-0.093928,-11780,12108,11796,11168,498,705
7, 641,-6.95743,7.39137,7.09648,6.7033,-0.0707458,-0.097392,-11608,12332,11840,11184,531,731
8, 641,-7.01257,7.39617,7.16122,6.75604,-0.0715452,-0.0963262,-11700,12340,11948,11272,537,723
9, 641,-6.95983,7.39137,7.09409,6.71289,-0.077807,-0.103521,-11612,12332,11836,11200,584,777
10, 640,-6.94544,7.47528,7.21636,6.77762,-0.0775406,-0.106718,-11588,12472,12040,11308,582,801
11, 638,-6.93106,7.37699,7.06292,6.68172,-0.0804717,-0.108317,-11564,12308,11784,11148,604,813
12, 636,-6.93106,7.53762,7.24033,6.7033,-0.0794058,-0.105253,-11564,12576,12080,11184,596,790
13, 635,-6.78242,7.54721,7.32185,6.59542,-0.0718116,-0.0984579,-11316,12592,12216,11004,539,739
14, 634,-6.78242,7.51364,7.2667,6.64576,-0.0631516,-0.0885988,-11316,12536,12124,11088,474,665
15, 633,-6.74166,7.52803,7.29308,6.58583,-0.0526263,-0.0771409,-11248,12560,12168,10988,395,579
16, 635,-6.76084,7.56878,7.37459,6.60261,-0.040902,-0.0664824,-11280,12628,12304,11016,307,499
17, 633,-6.75125,7.50645,7.1732,6.50911,-0.0326417,-0.0606202,-11264,12524,11968,10860,245,455
